                      Item; Tech;     Type; Heat;    Damage; MinRange; ShortRange; MedRange; LongRange; Tons; Slots; ShotsPerTon;
                      AC/2;   IS;     DB S;    1;         2;        4;        1–8;     9–16;     17–24;    6;     1;          45;
                      AC/5;   IS;     DB S;    1;         5;        3;        1–6;     7–12;     13–18;    8;     4;          20;
                     AC/10;   IS;     DB S;    3;        10;        0;        1–5;     6–10;     11–15;   12;     7;          10;
                     AC/20;   IS;     DB S;    7;        20;        0;        1–3;      4–6;       7–9;   14;    10;           5;
            AP Gauss Rifle; Clan;  AI DB X;    1;         3;        0;        1–3;      4–6;       7–9;  0.5;     1;          40;
               Gauss Rifle;   IS;     DB X;    1;        15;        2;        1–7;     8–15;     16–22;   15;     7;           8;
               Gauss Rifle; Clan;     DB X;    1;        15;        2;        1–7;     8–15;     16–22;   12;     6;           8;
                    HAG/20; Clan; C DB F X;    4;     C5/20;        2;        1–8;     9–16;     17–24;   10;     6;           6;
                    HAG/30; Clan; C DB F X;    6;     C5/30;        2;        1–8;     9–16;     17–24;   13;     8;           4;
                    HAG/40; Clan; C DB F X;    8;     C5/40;        2;        1–8;     9–16;     17–24;   16;    10;           3;
         Heavy Gauss Rifle;   IS;   DB V X;    2;  25/20/10;        4;        1–6;     7–13;     14–20;   18;    11;           4;
         Heavy Machine Gun;   IS;    AI DB;    0;         3;        0;          1;        2;          ;    1;     1;         100;
         Heavy Machine Gun; Clan;    AI DB;    0;         3;        0;          1;        2;          ;  0.5;     1;         100;
      Heavy Rifle (Cannon);   IS;       DB;    4;       9**;        2;        1–6;     7–12;     13–18;    8;     3;           6;
Improved Heavy Gauss Rifle;   IS;     DB X;    2;        22;        3;        1–6;     7–12;     13–19;   20;    11;           4;
                 LB 2-X AC;   IS;     DB S;    1;         2;        4;        1–9;    10–18;     19–27;    6;     4;          45;
                 LB 2-X AC; Clan;     DB S;    1;         2;        4;       1–10;    11–20;     21–30;    5;     3;          45;
                 LB 5-X AC;   IS;     DB S;    1;         5;        3;        1–7;     8–14;     15–21;    8;     5;          20;
                 LB 5-X AC; Clan;     DB S;    1;         5;        3;        1–8;     9–15;     16–24;    7;     4;          20;
                LB 10-X AC;   IS;     DB S;    2;        10;        0;        1–6;     7–12;     13–18;   11;     6;          10;
                LB 10-X AC; Clan;     DB S;    2;        10;        0;        1–6;     7–12;     13–18;   10;     5;          10;
                LB 20-X AC;   IS;     DB S;    6;        20;        0;        1–4;      5–8;      9–12;   14;    11;           5;
                LB 20-X AC; Clan;     DB S;    6;        20;        0;        1–4;      5–8;      9–12;   12;     9;           5;
                Light AC/2;   IS;     DB S;    1;         2;        0;        1–6;     7–12;     13–18;    4;     1;          45;
                Light AC/5;   IS;     DB S;    1;         5;        0;        1–5;     6–10;     11–15;    5;     2;          20;
         Light Gauss Rifle;   IS;     DB X;    1;         8;        3;        1–8;     9–17;     18–25;   12;     5;          16;
         Light Machine Gun;   IS;    AI DB;    0;         1;        0;        1–2;      3–4;       5–6;  0.5;     1;         200;
         Light Machine Gun; Clan;    AI DB;    0;         1;        0;        1–2;      3–4;       5–6; 0.25;     1;         200;
      Light Rifle (Cannon);   IS;       DB;    1;       3**;        0;        1–4;      5–8;      9–12;    3;     1;          18;
               Machine Gun;   IS;    AI DB;    0;         2;        0;          1;        2;         3;  0.5;     1;         200;
               Machine Gun; Clan;    AI DB;    0;         2;        0;          1;        2;         3; 0.25;     1;         200;
       Magshot Gauss Rifle;   IS;     DB X;    1;         2;        0;        1–3;      4–6;       7–9;  0.5;     2;          50;
     Medium Rifle (Cannon);   IS;       DB;    2;       6**;        1;        1–5;     6–10;     11–15;    5;     2;           9;
            ProtoMech AC/2; Clan;     DB S;    1;         2;        0;        1–7;     8–14;     15–20;  3.5;     2;          40;
            ProtoMech AC/4; Clan;     DB S;    1;         4;        0;        1–5;     6–10;     11–15;  4.5;     3;          20;
            ProtoMech AC/8; Clan;     DB S;    2;         8;        0;        1–3;      4–7;      8–10;  5.5;     4;          10;
               Rotary AC/2;   IS;     DB R;1/Sht;  2/Sht R6;        0;        1–6;     7–12;     13–18;    8;     3;          45;
               Rotary AC/2; Clan;     DB R;1/Sht;  2/Sht R6;        0;        1–8;     9–17;     18–25;    8;     4;          45;
               Rotary AC/5;   IS;     DB R;1/Sht;  5/Sht R6;        0;        1–5;     6–10;     11–15;   10;     6;          20;
               Rotary AC/5; Clan;     DB R;1/Sht;  5/Sht R6;        0;        1–7;     8–14;     15–21;   10;     8;          20;
 Silver Bullet Gauss Rifle;   IS; C DB F X;    1;     C1/15;        2;        1–7;     8–15;     16–22;   15;     7;           8;
                Ultra AC/2;   IS;     DB R;1/Sht;  2/Sht R2;        3;        1–8;     9–17;     18–25;    7;     3;          45;
                Ultra AC/2; Clan;     DB R;1/Sht;  2/Sht R2;        2;        1–9;    10–18;     19–27;    5;     2;          45;
                Ultra AC/5;   IS;     DB R;1/Sht;  5/Sht R2;        2;        1–6;     7–13;     14–20;    9;     5;          20;
                Ultra AC/5; Clan;     DB R;1/Sht;  5/Sht R2;        0;        1–7;     8–14;     15–21;    7;     3;          20;
               Ultra AC/10;   IS;     DB R;4/Sht; 10/Sht R2;        0;        1–6;     7–12;     13–18;   13;     7;          10;
               Ultra AC/10; Clan;     DB R;3/Sht; 10/Sht R2;        0;        1–6;     7–12;     13–18;   10;     4;          10;
               Ultra AC/20;   IS;     DB R;8/Sht; 20/Sht R2;        0;        1–3;      4–7;      8–10;   15;    10;           5;
               Ultra AC/20; Clan;     DB R;7/Sht; 20/Sht R2;        0;        1–4;      5–8;      9–12;   12;     8;           5;
