Category;Equipment;Tons;Critical Slots;Page Ref
Armor;Standard;—;0;N/A
Armor;Ferro-Fibrous;—;7;114
Armor;Ferro-Lamellor;—;12;114
Armor;Hardened;—;0;114
Armor;Laser-Reflective;—;5;114
Cockpit;Standard;3;—;47
Cockpit;Small;2;*;47, 115
Cockpit;Torso-Mounted;4;*;47, 115
Electronics;Artemis IV FCS;1;1*;110
Electronics;Artemis V FCS;1.5;2*;110
Electronics;Targeting Computer;*;*;114
Engine;Standard;—;6*;48
Engine;XL;—;10*;48
Engine;XXL;—;14*;115
Gyro;Standard;—;4*;48
Maneuverability;Jump Jet, Standard;*;1*;14, 18
Maneuverability;Jump Jet, Improved;*;2*;14, 18
Maneuverability;MASC;*;*;116
Maneuverability;Partial Wing;*;6*;116
Maneuverability;Supercharger;*;1*;116
Maneuverability;UMU;*;1*;19, 117
Munition Bin;AC – Cluster;1;1;106
Munition Bin;Missile – Artemis IV;1;1;107
Munition Bin;Missile – Artemis V;1;1;107
Munition Bin;Missile – Inferno;1;1;107
Munition Bin;Missile – Narc-Equipped;1;1;107
Munition Bin;Narc – Homing (Narc);1;1;108
Munition Bin;PAC – Armor-Piercing;1;1;106
Munition Bin;PAC – Flechette;1;1;107
Physical Weapon;Claws;*;*;108
Physical Weapon;Talons;*;*;109
Structure;Standard;—;0;N/A
Structure;Composite;—;0;117
Structure;Endo-Composite;—;4;117
Structure;Endo-Steel;—;7;117
Structure;Reinforced;—;0;117
Miscellaneous;AES;*;*;118
Miscellaneous;Armored Component;*;0;118
Miscellaneous;CASE;0*;0*;118
Miscellaneous;CASE II;0.5;1;119
Miscellaneous;Coolant Pod;1;1;119
Miscellaneous;Full-Head Ejection System;0;0;115
Miscellaneous;Heat Sink;1;1;51
Miscellaneous;Heat Sink, Double;1;2;51
Miscellaneous;Machine Gun Array;0.25;1*;102
Miscellaneous;OS Missile Launcher;—;—;103
Miscellaneous;OS Missile Launcher, Improved;—;—;103
Miscellaneous;PPC Capacitor;1;1*;105
