Item;TechBase;Type;Ammo;Heat;Damage Value;Minimum Range;Short Range;Medium Range;Long Range;Tons;Critical Slots;Shots Per Ton;Page Ref
LB 2-X AC;Clan;DB, S;;1;2;4;1–10;11–20;21–30;5;3;45;98
LB 5-X AC;Clan;DB, S;;1;5;3;1–8;9–15;16–24;7;4;20;98
LB 10-X AC;Clan;DB, S;;2;10;0;1–6;7–12;13–18;10;5;10;98
LB 20-X AC;Clan;DB, S;;6;20;0;1–4;5–8;9–12;12;9;5;98
AP Gauss Rifle;Clan;AI, DB, X;;1;3;0;1–3;4–6;7–9;0.5;1;40;99
Gauss Rifle;Clan;DB, X;;1;15;2;1–7;8–15;16–22;12;6;8;99
HAG/20;Clan;C, DB, F, X;;4;C5/20;2;1–8;9–16;17–24;10;6;6;100
HAG/30;Clan;C, DB, F, X;;6;C5/30;2;1–8;9–16;17–24;13;8;4;100
HAG/40;Clan;C, DB, F, X;;8;C5/40;2;1–8;9–16;17–24;16;10;3;100
Light Machine Gun;Clan;AI, DB;;0;1;0;1–2;3–4;5–6;0.25;1;200;102
Machine Gun;Clan;AI, DB;;0;2;0;1;2;3;0.25;1;200;101
Heavy Machine Gun;Clan;AI, DB;;0;3;0;1;2;—;0.5;1;100;101
ProtoMech AC/2;Clan;DB, S;;1;2;0;1–7;8–14;15–20;3.5;2;40;98
ProtoMech AC/4;Clan;DB, S;;1;4;0;1–5;6–10;11–15;4.5;3;20;98
ProtoMech AC/8;Clan;DB, S;;2;8;0;1–3;4–7;8–10;5.5;4;10;98
Rotary AC/2;Clan;DB, R;;1/Sht;2/Sht, R6;0;1–8;9–17;18–25;8;4;45;98
Rotary AC/5;Clan;DB, R;;1/Sht;5/Sht, R6;0;1–7;8–14;15–21;10;8;20;98
Ultra AC/2;Clan;DB, R;;1/Sht;2/Sht, R2;2;1–9;10–18;19–27;5;2;45;99
Ultra AC/5;Clan;DB, R;;1/Sht;5/Sht, R2;0;1–7;8–14;15–21;7;3;20;99
Ultra AC/10;Clan;DB, R;;3/Sht;10/Sht, R2;0;1–6;7–12;13–18;10;4;10;99
Ultra AC/20;Clan;DB, R;;7/Sht;20/Sht, R2;0;1–4;5–8;9–12;12;8;5;99
Small Chem. Laser;Clan;DE;;1;3;0;1;2;3;0.5;1;60;100
