                       Item; Tech;    Type; Heat; Damage; MinRange; ShortRange; MedRange; LongRange; Tons; Slots; ShotsPerTon;
              Blazer Cannon;   IS;      DE;   16;     12;        0;        1–5;     6–10;     11–15;    9;     4;            ;
                  ER Flamer; Clan; AI DE H;    4;    2**;        0;        1–3;      4–5;       6–7;    1;     1;            ;
                  ER Flamer;   IS; AI DE H;    4;    2**;        0;        1–3;      4–5;       6–7;    1;     1;            ;
             ER Large Laser; Clan;      DE;   12;     10;        0;        1–8;     9–15;     16–25;    4;     1;            ;
             ER Large Laser;   IS;      DE;   12;      8;        0;        1–7;     8–14;     15–19;    5;     2;            ;
            ER Medium Laser; Clan;      DE;    5;      7;        0;        1–5;     6–10;     11–15;    1;     1;            ;
            ER Medium Laser;   IS;      DE;    5;      5;        0;        1–4;      5–8;      9–12;    1;     1;            ;
             ER Micro Laser; Clan;      DE;    1;      2;        0;          1;        2;       3–4; 0.25;     1;            ;
                     ER PPC; Clan;      DE;   15;     15;        0;        1–7;     8–14;     15–23;    6;     2;            ;
                     ER PPC;   IS;      DE;   15;     10;        0;        1–7;     8–14;     15–23;    7;     3;            ;
             ER Small Laser; Clan;      DE;    2;      5;        0;        1–2;      3–4;       5–6;  0.5;     1;            ;
             ER Small Laser;   IS;      DE;    2;      3;        0;        1–2;      3–4;         5;  0.5;     1;            ;
                     Flamer; Clan; AI DE H;    3;    2**;        0;          1;        2;         3;  0.5;     1;            ;
                     Flamer;   IS; AI DE H;    3;    2**;        0;          1;        2;         3;    1;     1;            ;
               Heavy Flamer; Clan; AI DE H;    5;    4**;        0;        1–2;        3;         4;  1.5;     1;          10;
               Heavy Flamer;   IS; AI DE H;    5;    4**;        0;        1–2;        3;         4;  1.5;     1;          10;
          Heavy Large Laser; Clan;      DE;   18;     16;        0;        1–5;     6–10;     11–15;    4;     3;            ;
         Heavy Medium Laser; Clan;      DE;    7;     10;        0;        1–3;      4–6;       7–9;    1;     2;            ;
                  Heavy PPC;   IS;      DE;   15;     15;        3;        1–6;     7–12;     13–18;   10;     4;            ;
          Heavy Small Laser; Clan;      DE;    3;      6;        0;          1;        2;         3;  0.5;     1;            ;
 Improved Heavy Large Laser; Clan;    DE X;   18;     16;        0;        1–5;     6–10;     11–15;    4;     3;            ;
Improved Heavy Medium Laser; Clan;    DE X;    7;     10;        0;        1–3;      4–6;       7–9;    1;     2;            ;
 Improved Heavy Small Laser; Clan;    DE X;    3;      6;        0;          1;        2;         3;  0.5;     1;            ;
          Large Chem. Laser; Clan;      DE;    6;      8;        0;        1–5;     6–10;     11–15;    5;     2;          10;
                Large Laser;   IS;      DE;    8;      8;        0;        1–5;     6–10;     11–15;    5;     2;            ;
                  Light PPC;   IS;      DE;    5;      5;        3;        1–6;     7–12;     13–18;    3;     2;            ;
         Medium Chem. Laser; Clan;      DE;    2;      5;        0;        1–3;      4–6;       7–9;    1;     1;          30;
               Medium Laser;   IS;      DE;    3;      5;        0;        1–3;      4–6;       7–9;    1;     1;            ;
                        PPC;   IS;      DE;   10;     10;        3;        1–6;     7–12;     13–18;    7;     3;            ;
              Plasma Cannon; Clan;    DE H;    7;    0**;        0;        1–6;     7–12;     13–18;    3;     1;          10;
               Plasma Rifle;   IS;    DE H;   10;   10**;        0;        1–5;     6–10;     11–15;    6;     2;          10;
          Small Chem. Laser; Clan;      DE;    1;      3;        0;          1;        2;         3;  0.5;     1;          60;
                Small Laser;   IS;      DE;    1;      3;        0;          1;        2;         3;  0.5;     1;            ;
              Snub-Nose PPC;   IS;    DE V;   10; 10/8/5;        0;        1–9;    10–13;     14–15;    6;     2;            ;
