Name;Type;Tons;Critical Slots;Page Ref
Standard;Armor;—;0;N/A
Primitive;Armor;—;0;N/A
Ballistic-Reinforced;Armor;—;10;114
Ferro-Fibrous, Light;Armor;—;7;114
Ferro-Fibrous;Armor;—;14;114
Ferro-Fibrous, Heavy;Armor;—;21;114
Hardened;Armor;—;0;114
Laser-Reflective;Armor;—;10;114
Stealth;Armor;—;12*;115
Standard;Cockpit;3;—;47
Primitive;Cockpit;3;—;47
Small;Cockpit;2;*;47, 115
Torso-Mounted;Cockpit;4;*;47, 115
Artemis IV FCS;Electronics;1;1*;110
C3 Computer, Master;Electronics;5;5;110
C3 Computer, Slave;Electronics;1;1;110
C3 Boosted System, Master;Electronics;6;6;112
C3 Boosted System, Slave;Electronics;3;2;112
C3I Computer;Electronics;2.5;2;112
MRM “Apollo” FCS;Electronics;1;1*;113
Targeting Computer;Electronics;*;*;114
Standard;Engine;—;6*;48
Compact;Engine;—;3*;48
Light;Engine;—;10*;48
XL;Engine;—;12*;48
XXL;Engine;—;18*;115
Compact;Gyro;—;2*;48
Standard;Gyro;—;4*;48
Heavy-Duty;Gyro;—;4*;48, 115
XL;Gyro;—;6*;48
Jump Jet, Standard;Maneuverability;* 1*;;14, 18
Jump Jet, Improved;Maneuverability;* 2*;;14, 18
MASC;Maneuverability;;*;116
Mechanical Jump Boosters;Maneuverability;;*;116
Partial Wing;Maneuverability;* 8*;;116
Supercharger;Maneuverability;* 1*;;116
Triple-Strength Myomer;Maneuverability;0;6;117
UMU;Maneuverability;* 1*;;19, 117
AC – Armor-Piercing;Munition Bin;1;1;106
AC – Caseless;Munition Bin;1;1;106
AC – Cluster;Munition Bin;1;1;106
AC – Flechette;Munition Bin;1;1;107
AC – Precision;Munition Bin;1;1;107
Missile – Artemis IV;Munition Bin;1;1;107
Missile – Fragmentation;Munition Bin;1;1;107
Missile – Inferno;Munition Bin;1;1;107
Missile – Narc-Equipped;Munition Bin;1;1;107
Missile – Semi-Guided;Munition Bin;1;1;107
Narc – ECM;Munition Bin;1;1;108
Narc – Explosive;Munition Bin;1;1;108
Narc – Haywire;Munition Bin;1;1;108
Narc – Homing (Narc);Munition Bin;1;1;108
Narc – Homing (iNarc);Munition Bin;1;1;108
Narc – Nemesis;Munition Bin;1;1;108
Standard;Structure;—;0;N/A
Composite;Structure;—;0;117
Endo-Composite;Structure;—;7;117
Endo-Steel;Structure;—;14;117
Reinforced;Structure;—;0;117
AES;Miscellaneous;*;*;118
Armored Component;Miscellaneous;*;0;118
CASE;Miscellaneous;0.5;1;118
CASE II;Miscellaneous;1;1;119
Coolant Pod;Miscellaneous;1;1;119
Full-Head Ejection System;Miscellaneous;0;0;115
Heat Sink;Miscellaneous;1;1;51
Heat Sink, Double;Miscellaneous;1;3;51
Machine Gun Array;Miscellaneous;0.5;1*;102
OS Missile Launcher;Miscellaneous;—;—;103
OS Missile Launcher, Improved;Miscellaneous;—;—;103
PPC Capacitor;Miscellaneous;1;1*;105
