Item;TechBase;Type;Ammo;Heat;Damage Value;Minimum Range;Short Range;Medium Range;Long Range;Tons;Critical Slots;Shots Per Ton;Page Ref
AC/2;IS;DB,S;;1;2;4;1–8;9–16;17–24;6;1;45;98
AC/5;IS;DB,S;;1;5;3;1–6;7–12;13–18;8;4;20;98
AC/10;IS;DB,S;;3;10;0;1–5;6–10;11–15;12;7;10;98
AC/20;IS;DB,S;;7;20;0;1–3;4–6;7–9;14;10;5;98
Light Gauss Rifle;IS;DB,X;;1;8;3;1–8;9–17;18–25;12;5;16;100
Gauss Rifle;IS;DB,X;;1;15;2;1–7;8–15;16–22;15;7;8;99
Heavy Gauss Rifle;IS;DB,V,X;;2;25/20/10;4;1–6;7–13;14–20;18;11;4;100
Improved Heavy Gauss Rifle;IS;DB,X;;2;22;3;1–6;7–12;13–19;20;11;4;100
Magshot Gauss Rifle;IS;DB,X;;1;2;0;1–3;4–6;7–9;0.5;2;50;100
Silver Bullet Gauss Rifle;IS;C,DB,F,X;;1;C1/15;2;1–7;8–15;16–22;15;7;8;100
LB 2-X AC;IS;DB,S;;1;2;4;1–9;10–18;19–27;6;4;45;98
LB 5-X AC;IS;DB,S;;1;5;3;1–7;8–14;15–21;8;5;20;98
LB 10-X AC;IS;DB,S;;2;10;0;1–6;7–12;13–18;11;6;10;98
LB 20-X AC;IS;DB,S;;6;20;0;1–4;5–8;9–12;14;11;5;98
Light AC/2;IS;DB,S;;1;2;0;1–6;7–12;13–18;4;1;45;98
Light AC/5;IS;DB,S;;1;5;0;1–5;6–10;11–15;5;2;20;98
Light Machine Gun;IS;AI,DB;;0;1;0;1–2;3–4;5–6;0.5;1;200;101
Machine Gun;IS;AI,DB;;0;2;0;1;2;3;0.5;1;200;101
Heavy Machine Gun;IS;AI,DB;;0;3;0;1;2;—;1;1;100;101
Light Rifle (Cannon);IS;DB;;1;3**;0;1–4;5–8;9–12;3;1;18;106
Medium Rifle (Cannon);IS;DB;;2;6**;1;1–5;6–10;11–15;5;2;9;106
Heavy Rifle (Cannon);IS;DB;;4;9**;2;1–6;7–12;13–18;8;3;6;106
Rotary AC/2;IS;DB,R;;1/Sht;2/Sht,R6;0;1–6;7–12;13–18;8;3;45;98
Rotary AC/5;IS;DB,R;;1/Sht;5/Sht,R6;0;1–5;6–10;11–15;10;6;20;98
Ultra AC/2;IS;DB,R;;1/Sht;2/Sht,R2;3;1–8;9–17;18–25;7;3;45;99
Ultra AC/5;IS;DB,R;;1/Sht;5/Sht,R2;2;1–6;7–13;14–20;9;5;20;99
