                  Item; Tech;  Type;     Ammo; Heat;      Damage; MinRange; ShortRange; MedRange; LongRange;  Tons; Slots; ShotsPerTon;
                 ATM 3; Clan; C M S;       ER;    2;  2/Msl C5/3;        4;        1–9;    10–18;     19–27;   1.5;     2;          20;
                 ATM 3; Clan; C M S;       HE;    2;  2/Msl C5/3;        4;        1–3;      4–6;       7–9;   1.5;     2;          20;
                 ATM 3; Clan; C M S; Standard;    2;  2/Msl C5/3;        4;        1–5;     6–10;     11–15;   1.5;     2;          20;
                 ATM 6; Clan; C M S;       ER;    4;  2/Msl C5/6;        4;        1–9;    10–18;     19–27;   3.5;     3;          10;
                 ATM 6; Clan; C M S;       HE;    4;  2/Msl C5/6;        4;        1–3;      4–6;       7–9;   3.5;     3;          10;
                 ATM 6; Clan; C M S; Standard;    4;  2/Msl C5/6;        4;        1–5;     6–10;     11–15;   3.5;     3;          10;
                 ATM 9; Clan; C M S;       ER;    6;  2/Msl C5/9;        4;        1–9;    10–18;     19–27;     5;     4;           7;
                 ATM 9; Clan; C M S;       HE;    6;  2/Msl C5/9;        4;        1–3;      4–6;       7–9;     5;     4;           7;
                 ATM 9; Clan; C M S; Standard;    6;  2/Msl C5/9;        4;        1–5;     6–10;     11–15;     5;     4;           7;
                ATM 12; Clan; C M S;       ER;    8; 2/Msl C5/12;        4;        1–9;    10–18;     19–27;     7;     5;           5;
                ATM 12; Clan; C M S;       HE;    8; 2/Msl C5/12;        4;        1–3;      4–6;       7–9;     7;     5;           5;
                ATM 12; Clan; C M S; Standard;    8; 2/Msl C5/12;        4;        1–5;     6–10;     11–15;     7;     5;           5;
        Enhanced LRM 5;   IS; C M S;         ;    2;  1/Msl C5/5;        3;        1–7;     8–14;     15–21;     3;     2;          24;
       Enhanced LRM 10;   IS; C M S;         ;    4; 1/Msl C5/10;        3;        1–7;     8–14;     15–21;     6;     4;          12;
       Enhanced LRM 15;   IS; C M S;         ;    5; 1/Msl C5/15;        3;        1–7;     8–14;     15–21;     9;     6;           8;
       Enhanced LRM 20;   IS; C M S;         ;    6; 1/Msl C5/20;        3;        1–7;     8–14;     15–21;    12;     9;           6;
        Extended LRM 5;   IS;   C M;         ;    3;  1/Msl C5/5;       10;       1–12;    13–22;     23–38;     6;     1;          18;
       Extended LRM 10;   IS;   C M;         ;    6; 1/Msl C5/10;       10;       1–12;    13–22;     23–38;     8;     4;           9;
       Extended LRM 15;   IS;   C M;         ;    8; 1/Msl C5/15;       10;       1–12;    13–22;     23–38;    12;     6;           6;
       Extended LRM 20;   IS;   C M;         ;   10; 1/Msl C5/20;       10;       1–12;    13–22;     23–38;    18;     8;           4;
Improved Narc Launcher;   IS;   M S;         ;    0;          **;        0;        1–4;      5–9;     10–15;     5;     3;           4;
                LRM 10;   IS; C M S;         ;    4; 1/Msl C5/10;        6;        1–7;     8–14;     15–21;     5;     2;          12;
                LRM 10; Clan; C M S;         ;    4; 1/Msl C5/10;        0;        1–7;     8–14;     15–21;   2.5;     1;          12;
                LRM 15;   IS; C M S;         ;    5; 1/Msl C5/15;        6;        1–7;     8–14;     15–21;     7;     3;           8;
                LRM 15; Clan; C M S;         ;    5; 1/Msl C5/15;        0;        1–7;     8–14;     15–21;   3.5;     2;           8;
                LRM 20;   IS; C M S;         ;    6; 1/Msl C5/20;        6;        1–7;     8–14;     15–21;    10;     5;           6;
                LRM 20; Clan; C M S;         ;    6; 1/Msl C5/20;        0;        1–7;     8–14;     15–21;     5;     4;           6;
                 LRM 5;   IS; C M S;         ;    2;  1/Msl C5/5;        6;        1–7;     8–14;     15–21;     2;     1;          24;
                 LRM 5; Clan; C M S;         ;    2;  1/Msl C5/5;        0;        1–7;     8–14;     15–21;     1;     1;          24;
                 MML 3;   IS; C M S;      LRM;    2;  1/Msl C3/3;        6;        1–7;     8–14;     15–21;   1.5;     2;          40;
                 MML 3;   IS; C M S;      SRM;    2;  2/Msl C2/3;        0;        1–3;      4–6;       7–9;   1.5;     2;          33;
                 MML 5;   IS; C M S;      LRM;    3;  1/Msl C5/5;        6;        1–7;     8–14;     15–21;     3;     3;          24;
                 MML 5;   IS; C M S;      SRM;    3;  2/Msl C2/5;        0;        1–3;      4–6;       7–9;     3;     3;          20;
                 MML 7;   IS; C M S;      LRM;    4;  1/Msl C5/7;        6;        1–7;     8–14;     15–21;   4.5;     4;          17;
                 MML 7;   IS; C M S;      SRM;    4;  2/Msl C2/7;        0;        1–3;      4–6;       7–9;   4.5;     4;          14;
                 MML 9;   IS; C M S;      LRM;    5;  1/Msl C5/9;        6;        1–7;     8–14;     15–21;     6;     5;          13;
                 MML 9;   IS; C M S;      SRM;    5;  2/Msl C2/9;        0;        1–3;      4–6;       7–9;     6;     5;          11;
                MRM 10;   IS;   C M;         ;    4; 1/Msl C5/10;        0;        1–3;      4–8;      9–15;     3;     2;          24;
                MRM 20;   IS;   C M;         ;    6; 1/Msl C5/20;        0;        1–3;      4–8;      9–15;     7;     3;          12;
                MRM 30;   IS;   C M;         ;   10; 1/Msl C5/30;        0;        1–3;      4–8;      9–15;    10;     5;           8;
                MRM 40;   IS;   C M;         ;   12; 1/Msl C5/40;        0;        1–3;      4–8;      9–15;    12;     7;           6;
   Narc Missile Beacon;   IS;   M S;         ;    0;          **;        0;        1–3;      4–6;       7–9;     3;     2;           6;
   Narc Missile Beacon; Clan;   M S;         ;    0;          **;        0;        1–4;      5–8;      9–12;     2;     1;           6;
    Rocket Launcher 10;   IS;C M OS;         ;    3; 1/Msl C5/10;        0;        1–5;     6–11;     12–18;   0.5;     1;          OS;
    Rocket Launcher 15;   IS;C M OS;         ;    4; 1/Msl C5/15;        0;        1–4;      5–9;     10–15;     1;     2;          OS;
    Rocket Launcher 20;   IS;C M OS;         ;    5; 1/Msl C5/20;        0;        1–3;      4–7;      8–12;   1.5;     3;          OS;
                 SRM 2;   IS; C M S;         ;    2;  2/Msl C2/2;        0;        1–3;      4–6;       7–9;     1;     1;          50;
                 SRM 2; Clan; C M S;         ;    2;  2/Msl C2/2;        0;        1–3;      4–6;       7–9;   0.5;     1;          50;
                 SRM 4;   IS; C M S;         ;    3;  2/Msl C2/4;        0;        1–3;      4–6;       7–9;     2;     1;          25;
                 SRM 4; Clan; C M S;         ;    3;  2/Msl C2/4;        0;        1–3;      4–6;       7–9;     1;     1;          25;
                 SRM 6;   IS; C M S;         ;    4;  2/Msl C2/6;        0;        1–3;      4–6;       7–9;     3;     2;          15;
                 SRM 6; Clan; C M S;         ;    4;  2/Msl C2/6;        0;        1–3;      4–6;       7–9;   1.5;     1;          15;
          Streak LRM 5; Clan;   C M;         ;    2;  1/Msl C5/5;        0;        1–7;     8–14;     15–21;     2;     1;          24;
         Streak LRM 10; Clan;   C M;         ;    4; 1/Msl C5/10;        0;        1–7;     8–14;     15–21;     5;     2;          12;
         Streak LRM 15; Clan;   C M;         ;    5; 1/Msl C5/15;        0;        1–7;     8–14;     15–21;     7;     3;           8;
         Streak LRM 20; Clan;   C M;         ;    6; 1/Msl C5/20;        0;        1–7;     8–14;     15–21;    10;     5;           6;
          Streak SRM 2;   IS;   C M;         ;    2;  2/Msl C2/2;        0;        1–3;      4–6;       7–9;   1.5;     1;          50;
          Streak SRM 2; Clan;   C M;         ;    2;  2/Msl C2/2;        0;        1–4;      5–8;      9–12;     1;     1;          50;
          Streak SRM 4;   IS;   C M;         ;    3;  2/Msl C2/4;        0;        1–3;      4–6;       7–9;     3;     1;          25;
          Streak SRM 4; Clan;   C M;         ;    3;  2/Msl C2/4;        0;        1–4;      5–8;      9–12;     2;     1;          25;
          Streak SRM 6;   IS;   C M;         ;    4;  2/Msl C2/6;        0;        1–3;      4–6;       7–9;   4.5;     2;          15;
          Streak SRM 6; Clan;   C M;         ;    4;  2/Msl C2/6;        0;        1–4;      5–8;      9–12;     3;     2;          15;
         Thunderbolt 5;   IS;     M;         ;    3;           5;        5;        1–6;     7–12;     13–18;     3;     1;          12;
        Thunderbolt 10;   IS;     M;         ;    5;          10;        5;        1–6;     7–12;     13–18;     7;     2;           6;
        Thunderbolt 15;   IS;     M;         ;    7;          15;        5;        1–6;     7–12;     13–18;    11;     3;           4;
        Thunderbolt 20;   IS;     M;         ;    8;          20;        5;        1–6;     7–12;     13–18;    15;     5;           3;
