                  Item; Tech;   Type; Heat; Damage; MinRange; ShortRange; MedRange; LongRange; Tons; Slots;
  ER Large Pulse Laser; Clan;      P;   13;     10;        0;        1–7;     8–15;     16–23;    6;     3;
 ER Medium Pulse Laser; Clan;      P;    6;      7;        0;        1–5;      6–9;     10–14;    2;     2;
  ER Small Pulse Laser; Clan;   AI P;    3;      5;        0;        1–2;      3–4;       5–6;  1.5;     1;
     Large Pulse Laser;   IS;      P;   10;      9;        0;        1–3;      4–7;      8–10;    7;     2;
     Large Pulse Laser; Clan;      P;   10;     10;        0;        1–6;     7–14;     15–20;    6;     2;
        Large RE Laser;   IS;      P;    9;      9;        0;        1–5;     6–10;     11–15;    8;     5;
       Large VSP Laser;   IS; AI P V;   10; 11/9/7;        0;        1–4;      5–8;      9–15;    9;     4;
   Large X-Pulse Laser;   IS;      P;   14;      9;        0;        1–5;     6–10;     11–15;    7;     2;
    Medium Pulse Laser;   IS;      P;    4;      6;        0;        1–2;      3–4;       5–6;    2;     1;
    Medium Pulse Laser; Clan;      P;    4;      7;        0;        1–4;      5–8;      9–12;    2;     1;
       Medium RE Laser;   IS;      P;    6;      6;        0;        1–3;      4–6;       7–9;  2.5;     2;
      Medium VSP Laser;   IS; AI P V;    7;  9/7/5;        0;        1–2;      3–5;       6–9;    4;     2;
  Medium X-Pulse Laser;   IS;      P;    6;      6;        0;        1–3;      4–6;       7–9;    2;     1;
     Micro Pulse Laser; Clan;   AI P;    1;      3;        0;          1;        2;         3;  0.5;     1;
     Small Pulse Laser;   IS;   AI P;    2;      3;        0;          1;        2;         3;    1;     1;
     Small Pulse Laser; Clan;   AI P;    2;      3;        0;        1–2;      3–4;       5–6;    1;     1;
        Small RE Laser;   IS;      P;    4;      4;        0;          1;        2;         3;  1.5;     1;
       Small VSP Laser;   IS; AI P V;    3;  5/4/3;        0;        1–2;      3–4;       5–6;    2;     1;
   Small X-Pulse Laser;   IS;   AI P;    3;      3;        0;        1–2;      3–4;         5;    1;     1;
