                   Item; Tech;       Type; Heat;     Damage; MinRange; ShortRange; MedRange; LongRange;  Tons; Slots; ShotsPerTon;
    Active Probe Beagle;   IS;          E;    0;           ;         ;           ;         ;         4;   1.5;     1;            ;
Active Probe Bloodhound;   IS;          E;    0;           ;         ;           ;         ;         8;     2;     3;            ;
     Active Probe Light; Clan;          E;    0;           ;         ;           ;         ;         3;   0.5;     1;            ;
           Active Probe; Clan;          E;    0;           ;         ;           ;         ;         5;     1;     1;            ;
        Angel ECM Suite;   IS;          E;    0;           ;         ;           ;         ;         6;     2;     2;            ;
        Angel ECM Suite; Clan;          E;    0;           ;         ;           ;         ;         6;     2;     2;            ;
    Anti-Missile System;   IS;         PB;    1;           ;         ;           ;         ;          ;   0.5;     1;          12;
    Anti-Missile System; Clan;         PB;    1;           ;         ;           ;         ;         -;   0.5;     1;          24;
              ECM Suite; Clan;          E;    0;           ;         ;           ;         ;         6;     1;     1;            ;
     Guardian ECM Suite;   IS;          E;    0;           ;         ;           ;         ;         6;   1.5;     2;            ;
              Laser AMS;   IS;         PB;    7;           ;         ;           ;         ;          ;   1.5;     2;            ;
              Laser AMS; Clan;         PB;    5;           ;         ;           ;         ;         -;     1;     1;            ;
              Light TAG; Clan;          E;    0;           ;        0;        1–3;      4–6;       7–9;   0.5;     1;            ;
                  M-Pod;   IS;   C OS V X;    0; 15/10/5 C1;        0;          1;        2;         3;     1;     1;          OS;
                    TAG;   IS;          E;    0;           ;        0;        1–5;      6–9;     10–15;     1;     1;            ;
                    TAG; Clan;          E;    0;           ;        0;        1–5;      6–9;     10–15;     1;     1;            ;
          Watchdog CEWS; Clan;          E;    0;           ;         ;           ;         ;         3;   1.5;     2;            ;
